Sentiment,Magnitude,DJIA,NASDAQComp,S&P500,SPXL,SPXS,DateTime,FaultyLinks,CommentsAnalyzed
-0.20000000298023224,177.6999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 18:30:10.822012,0,279
-0.20000000298023224,187.0,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 19:00:09.743402,0,265
-0.20000000298023224,166.1999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 19:30:11.249264,0,241
-0.20000000298023224,163.6999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 20:00:09.657314,0,264
-0.20000000298023224,167.6999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 20:30:13.161445,0,247
-0.30000001192092896,191.3000030517578,31437.8,13972.53,3909.88,81.15,33.91,2021-02-10 21:00:11.577272,0,294
-0.20000000298023224,177.0,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 04:00:12.544000,0,260
-0.20000000298023224,170.3000030517578,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 04:30:20.224703,0,257
-0.30000001192092896,179.10000610351562,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 05:00:11.372652,0,280
-0.30000001192092896,143.8000030517578,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 05:30:11.028647,0,240
-0.30000001192092896,149.60000610351562,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 06:00:11.381826,0,220
-0.20000000298023224,127.5999984741211,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 06:30:10.717304,0,203
-0.20000000298023224,118.0,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 07:00:12.228814,0,209
-0.30000001192092896,138.10000610351562,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 07:30:10.686752,0,200
-0.30000001192092896,124.30000305175781,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 08:00:16.993284,0,206
-0.20000000298023224,133.1999969482422,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 08:30:19.197643,0,220
-0.30000001192092896,148.3000030517578,31437.8,13972.53,3909.88,81.15,33.91,2021-02-11 09:00:20.300381,0,229
-0.30000001192092896,123.4000015258789,31437.8,13972.53,3909.88,81.91,33.59,2021-02-11 09:30:12.344157,0,220
-0.20000000298023224,156.89999389648438,31452.84,14024.43,3917.02,81.65,33.66,2021-02-11 10:00:11.770194,0,243
-0.20000000298023224,127.4000015258789,31511.2,14020.16,3919.85,81.53,33.71,2021-02-11 10:30:10.103535,0,207
